id,accident_date,accident_time,cause,dead_man,dead_femel,injur_man,injur_femel,place,weather
1,2025-01-30,23:04,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช,ปกติ
2,2025-01-30,07:54,ละสายตาจากการขับขี่,0,0,1,1,บางพลี-สุขสวัสดิ์,ปกติ
3,2025-01-29,07:26,หลับใน,0,0,1,0,อุดรรัถยา,ปกติ
4,2025-01-29,06:40,ละสายตาจากการขับขี่,0,0,3,4,บูรพาวิถี,ปกติ
5,2025-01-27,12:55,เปลี่ยนช่องทางกระทันหัน,0,0,1,0,เฉลิมมหานคร,ปกติ
6,2025-01-26,19:51,เบรคกระทันหัน,0,0,0,1,อุดรรัถยา,ปกติ
7,2025-01-26,16:30,ขับรถกระชั้นชิด,0,0,0,0,ศรีรัช,ปกติ
8,2025-01-26,00:20,ละสายตาจากการขับขี่,0,0,1,0,เฉลิมมหานคร,ปกติ
9,2025-01-25,10:33,บรรทุกเกิน/ของตกหล่น,0,0,0,0,บางพลี-สุขสวัสดิ์,ปกติ
10,2025-01-24,22:04,ขับรถกระชั้นชิด,0,0,0,1,เฉลิมมหานคร,ปกติ
11,2025-01-24,17:05,ขับรถกระชั้นชิด,0,0,0,0,ศรีรัช,ปกติ
12,2025-01-24,12:26,ขับรถเร็วเกินไป,0,0,0,0,ศรีรัช,ปกติ
13,2025-01-24,09:33,ละสายตาจากการขับขี่,0,0,0,0,บางพลี-สุขสวัสดิ์,ปกติ
14,2025-01-22,12:57,เปลี่ยนช่องทางกระทันหัน,0,0,2,0,ฉลองรัช,ปกติ
15,2025-01-21,15:46,ละสายตาจากการขับขี่,0,0,0,0,ทางหลวงพิเศษหมายเลข 37,ปกติ
16,2025-01-21,15:37,ขับรถกระชั้นชิด,0,0,0,0,บางพลี-สุขสวัสดิ์,ปกติ
17,2025-01-21,09:35,ละสายตาจากการขับขี่,0,0,0,0,บูรพาวิถี,ปกติ
18,2025-01-21,09:06,เปลี่ยนช่องทางกระทันหัน,0,0,0,1,ศรีรัช,ปกติ
19,2025-01-20,19:41,ขับรถกระชั้นชิด,0,0,2,1,เฉลิมมหานคร,ปกติ
20,2025-01-20,11:25,ผูกมัดสิ่งของไม่แน่นหนา,0,0,0,0,ศรีรัช,ปกติ
21,2025-01-19,22:33,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช,ปกติ
22,2025-01-18,13:24,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช-วงแหวนรอบนอก,ปกติ
23,2025-01-18,12:42,ขับรถกระชั้นชิด,0,0,0,0,ศรีรัช,ปกติ
24,2025-01-18,12:34,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช,ปกติ
25,2025-01-16,20:18,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช,ปกติ
26,2025-01-15,20:20,มึนเมา,0,0,0,0,บางพลี-สุขสวัสดิ์,ปกติ
27,2025-01-15,17:50,จยย.ฝ่าฝืนใช้ทาง,0,0,0,0,ศรีรัช,ปกติ
28,2025-01-15,12:37,ขับรถกระชั้นชิด,0,0,1,0,บางพลี-สุขสวัสดิ์,ปกติ
29,2025-01-15,10:51,ละสายตาจากการขับขี่,0,0,0,0,บูรพาวิถี,ปกติ
30,2025-01-14,18:05,ขับรถกระชั้นชิด,0,0,0,0,เฉลิมมหานคร,ปกติ
31,2025-01-14,15:14,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช,ปกติ
32,2025-01-14,08:18,บรรทุกเกิน/ของตกหล่น,0,0,0,0,อุดรรัถยา,ปกติ
33,2025-01-12,16:49,ขับรถกระชั้นชิด,0,0,0,0,เฉลิมมหานคร,ปกติ
34,2025-01-12,11:57,เปลี่ยนช่องทางกระทันหัน,0,0,2,0,ฉลองรัช,ปกติ
35,2025-01-11,23:17,ขับรถย้อนทาง,0,0,0,0,เฉลิมมหานคร,ปกติ
36,2025-01-11,03:36,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช,ปกติ
37,2025-01-10,14:25,มึนเมา,0,0,0,0,เฉลิมมหานคร,ปกติ
38,2025-01-10,08:02,เปลี่ยนช่องทางกระทันหัน,0,0,0,1,บางพลี-สุขสวัสดิ์,ปกติ
39,2025-01-10,06:51,ขับรถกระชั้นชิด,0,0,0,0,เฉลิมมหานคร,ปกติ
40,2025-01-09,14:13,เปลี่ยนช่องทางกระทันหัน,0,0,1,0,บูรพาวิถี,ปกติ
41,2025-01-09,10:30,ขับรถประมาท,0,0,0,0,ทางหลวงพิเศษหมายเลข 37,ปกติ
42,2025-01-09,09:45,ขับรถกระชั้นชิด,0,0,0,0,ฉลองรัช,ปกติ
43,2025-01-09,09:07,มึนเมา,0,0,0,0,ฉลองรัช,ปกติ
44,2025-01-08,17:44,ละสายตาจากการขับขี่,0,0,0,0,ศรีรัช,ปกติ
45,2025-01-06,22:12,ละสายตาจากการขับขี่,0,0,0,0,ฉลองรัช,ปกติ
46,2025-01-05,13:54,ขับรถกระชั้นชิด,0,0,0,0,อุดรรัถยา,ปกติ
47,2025-01-04,01:00,หลับใน,0,0,0,1,ฉลองรัช,ปกติ
48,2025-01-03,12:55,รถนั่งสาธารณะจอดช่องทางขวา,0,0,2,0,ศรีรัช,ปกติ
49,2025-01-03,09:26,ขับรถกระชั้นชิด,0,0,1,0,เฉลิมมหานคร,ปกติ
50,2025-01-02,08:01,เปลี่ยนช่องทางกระทันหัน,0,0,0,1,บูรพาวิถี,ปกติ
51,2025-01-01,07:17,เปลี่ยนช่องทางกระทันหัน,0,0,0,0,ศรีรัช,ปกติ
52,2025-01-01,04:54,หลับใน,0,0,0,0,อุดรรัถยา,ปกติ
